"mag","env","interaction"
2.95457661865976,-1.91318524275751,-1.97006552427116
1.40834741161811,-0.880651307786554,-0.160106549412633
4.56996283073669,-0.596613174619799,-2.09088315139346
3.78229259854105,-0.905109606786089,-0.34976368034637
2.96122722379478,-0.946078487119809,-1.64943562332077
2.52815124886256,-1.21023745737558,-1.42212530422212
0.559199470286893,-0.0155406136086836,-1.3805110078862
1.4770001411261,-0.704699176262202,-1.0111316038584
1.92556233042635,-0.921151376476391,-2.50785403104459
1.69567281467996,-0.746440180479266,-0.804529313479236
5.3653824251205,-0.603898826106045,-1.83131578108561
3.57815294325043,-1.52735436193478,-1.73055349822118
4.78531102563836,-0.670062009349035,0.0987812011789118
3.63599400895103,-1.170496904609,-3.26348259829845
4.81366252714699,-1.3494020912605,-0.954971276782486
1.33315748902667,-0.305269411850584,-0.0801619171478301
3.47968955635245,-0.366712072334033,-2.39513326970549
3.52817332838778,-0.335832231779357,-1.72892871270825
4.72920398803374,-0.897033894912198,-1.4254671762163
0.265651198343986,-1.46122524806795,-2.40238534845599
1.53434190172419,-1.5918361736663,-1.91655812478139
4.3417533350875,-1.02891077808145,-1.85579439419347
2.83754248579405,-1.09663142157174,-1.36080942680834
3.81824023545421,-0.389414655837065,-2.04391571504659
1.68928412481476,-0.940889302852624,-0.431051464459818
4.3405853324087,-0.922447490232963,-0.284692425770716
1.71708048690742,-0.412895863186627,-2.21000415948253
2.04992626946384,-1.0960128171712,-0.820984843785219
1.04604414148019,-0.400746210597214,-1.56226371385322
3.18716837412704,-0.85660069834862,-1.09591718159927
6.9511830907436,-0.618535387120794,-2.8870840143445
4.27910100831108,-1.92015804031239,-2.60023859790596
3.64622875751878,-0.669530587316967,-0.207417257628461
4.99798408328805,-0.967859757850621,-1.04480505024904
3.00696869863144,-1.20920777845331,-0.975630664788651
0.2065813717198,-0.395097136670324,-1.03282271749994
2.82139565037325,-1.50203307763258,-0.331049323085627
4.16148854647469,-0.845134079062855,-1.0067586474252
4.1538951611937,-1.48979333004545,-1.54273045879694
1.27342054698876,-1.07617029276644,-1.31925978020119
2.64873176796335,-0.20592212410192,-0.946351070934854
3.38993406505616,-1.01418778981191,-1.54909070991275
1.45401692689742,-0.38450142447802,-1.80319104837448
1.709818596166,-0.669171841368721,-0.705372170762117
3.82818497288909,-0.0584772014056367,-2.23895884321121
3.79190512424501,-0.87390380783041,-1.89290060246137
